lokasi,judul,harga_bersih,kamar_tidur,kamar_mandi,luas_tanah_m2,luas_bangunan,tanggal_clean,kecamatan
"Lowokwaru, Malang","Kesempatan terbatas buat Anda dapatkan rumah strategis dengan return investasi tinggi di Lowokwaru, Malang.  Rumah ini menawarkan kelengkapan fasil...",1750000000.0,4.0,2.0,100.0,150.0,2026-04-12,Lowokwaru
"Lowokwaru, Malang","Kesempatan terbatas buat Anda dapatkan rumah strategis dengan return investasi tinggi di Lowokwaru, Malang.  Rumah ini menawarkan kelengkapan fasil...",1600000000.0,4.0,4.0,189.0,189.0,2026-04-12,Lowokwaru
"Sawojajar, Malang","LOKASI Grand Permata Jingga, Malang  - Dekat exit tol Malang - Dekat banyak sekolah unggulan - Dekat pusat perbelanjaan  - Dekat bandara Abd Saleh ...",1500000000.0,3.0,3.0,112.0,130.0,2026-04-12,Blimbing
"Blimbing, Malang","Dijual rumah harga terjangkau di Polowijen, Blimbing Kota Malang. Lokasi strategis dekat Exit Tol Singosari, Plaza Araya, Terminal Arjosari, Pasar ...",670000000.0,2.0,1.0,105.0,60.0,2026-04-12,Blimbing
"Blimbing, Malang","Rumah Murah Siap Huni di Perumahan Graha Kencana Dekat Exit Tol  Lokasi masuk area perumahan elite graha kencana, dekat exit toll karanglo, hawai w...",1400000000.0,3.0,2.0,153.0,100.0,2026-04-12,Blimbing
"Lowokwaru, Malang","Rumah 2 Lantai Minimalis di Perumahan Green Orchid Suhat.  Lokasi dekat dengan jalan soekarno hatta, pusat perbelanjaan, rumah sakit, pom bensin da...",2200000000.0,3.0,2.0,128.0,135.0,2026-04-12,Lowokwaru
"Blimbing, Malang","Rumah 2 lantai di Blimbing, Malang.  Dijual rumah di wilayah yang nyaman dengan pemandangan Lokasi di Pusat Kota. Properti 2 lantai bergaya minimal...",1700000000.0,3.0,2.0,176.0,300.0,2026-04-12,Blimbing
"Lowokwaru, Malang",DIJUAL Rumah Murah dekat Sekolah Hua Ind Di Borobudur Agung dekat Suhat Blimbing Malang  Spesifikasi: LT : 163 m LB : 85m Dimensi : 7 x 23 Lantai :...,930000000.0,3.0,1.0,163.0,85.0,2026-04-12,Lowokwaru
"Blimbing, Malang",Rumah Murah Luas 435 m2 di Perumahan Araya Malang Row Jalan Lebar.  Kawasan elite di kota Malang mudah diakses dan jalanan yang lebar. Fasilitas sa...,3000000000.0,3.0,2.0,435.0,220.0,2026-04-12,Blimbing
"Klojen, Malang","[Deal Terbaik, Harga Masuk]  Dijual Rumah Mewah Furnished di Pusat Kota, Selangkah dari Ijen Boulevard, Malang   Lantai full marmer  Furnished impo...",32500000000.0,5.0,5.0,1202.0,1300.0,2026-04-12,Klojen
"Klojen, Malang","Dijual Rumah Klasik Hook di Jalan Gunung Gunung Kawasan Ijen Kota Malang, Cocok Dibuat Segala Macam Jenis Usaha Maupun Tempat Tinggal  Spesifikasi ...",13000000000.0,5.0,3.0,557.0,400.0,2026-04-12,Klojen
